departure_date,booking_date,cum_bookings
5/7/2012,4/29/2012,122
5/7/2012,4/30/2012,139
5/7/2012,5/1/2012,152
5/7/2012,5/2/2012,170
5/7/2012,5/3/2012,196
5/7/2012,5/4/2012,212
5/7/2012,5/5/2012,224
5/7/2012,5/6/2012,228
5/7/2012,5/7/2012,276
5/8/2012,3/9/2012,1
5/8/2012,3/10/2012,1
5/8/2012,3/11/2012,1
5/8/2012,3/12/2012,1
5/8/2012,3/13/2012,1
5/8/2012,3/14/2012,1
5/8/2012,3/15/2012,1
5/8/2012,3/16/2012,1
5/8/2012,3/17/2012,1
5/8/2012,3/18/2012,1
5/8/2012,3/19/2012,1
5/8/2012,3/20/2012,1
5/8/2012,3/21/2012,2
5/8/2012,3/22/2012,2
5/8/2012,3/23/2012,7
5/8/2012,3/24/2012,7
5/8/2012,3/25/2012,7
5/8/2012,3/26/2012,8
5/8/2012,3/27/2012,9
5/8/2012,3/28/2012,10
5/8/2012,3/29/2012,11
5/8/2012,3/30/2012,13
5/8/2012,3/31/2012,13
5/8/2012,4/1/2012,13
5/8/2012,4/2/2012,15
5/8/2012,4/3/2012,19
5/8/2012,4/4/2012,21
5/8/2012,4/5/2012,28
5/8/2012,4/6/2012,28
5/8/2012,4/7/2012,29
5/8/2012,4/8/2012,29
5/8/2012,4/9/2012,31
5/8/2012,4/10/2012,33
5/8/2012,4/11/2012,38
5/8/2012,4/12/2012,41
5/8/2012,4/13/2012,45
5/8/2012,4/14/2012,45
5/8/2012,4/15/2012,45
5/8/2012,4/16/2012,49
5/8/2012,4/17/2012,61
5/8/2012,4/18/2012,67
5/8/2012,4/19/2012,74
5/8/2012,4/20/2012,76
5/8/2012,4/21/2012,76
5/8/2012,4/22/2012,77
5/8/2012,4/23/2012,86
5/8/2012,4/24/2012,103
5/8/2012,4/25/2012,107
5/8/2012,4/26/2012,116
5/8/2012,4/27/2012,128
5/8/2012,4/28/2012,128
5/8/2012,4/29/2012,130
5/8/2012,4/30/2012,148
5/8/2012,5/1/2012,153
5/8/2012,5/2/2012,190
5/8/2012,5/3/2012,211
5/8/2012,5/4/2012,223
5/8/2012,5/5/2012,230
5/8/2012,5/6/2012,232
5/8/2012,5/7/2012,247
5/8/2012,5/8/2012,277
5/9/2012,3/10/2012,0
5/9/2012,3/11/2012,0
5/9/2012,3/12/2012,0
5/9/2012,3/13/2012,0
5/9/2012,3/14/2012,0
5/9/2012,3/15/2012,0
5/9/2012,3/16/2012,0
5/9/2012,3/17/2012,0
5/9/2012,3/18/2012,0
5/9/2012,3/19/2012,0
5/9/2012,3/20/2012,0
5/9/2012,3/21/2012,1
5/9/2012,3/22/2012,1
5/9/2012,3/23/2012,5
5/9/2012,3/24/2012,5
5/9/2012,3/25/2012,5
5/9/2012,3/26/2012,5
5/9/2012,3/27/2012,6
5/9/2012,3/28/2012,7
5/9/2012,3/29/2012,8
5/9/2012,3/30/2012,10
5/9/2012,3/31/2012,10
5/9/2012,4/1/2012,10
5/9/2012,4/2/2012,15
5/9/2012,4/3/2012,21
5/9/2012,4/4/2012,23
5/9/2012,4/5/2012,30
5/9/2012,4/6/2012,30
5/9/2012,4/7/2012,30
5/9/2012,4/8/2012,30
5/9/2012,4/9/2012,33
5/9/2012,4/10/2012,35
5/9/2012,4/11/2012,40
5/9/2012,4/12/2012,43
5/9/2012,4/13/2012,47
5/9/2012,4/14/2012,47
5/9/2012,4/15/2012,47
5/9/2012,4/16/2012,53
5/9/2012,4/17/2012,62
5/9/2012,4/18/2012,70
5/9/2012,4/19/2012,74
5/9/2012,4/20/2012,80
5/9/2012,4/21/2012,80
5/9/2012,4/22/2012,81
5/9/2012,4/23/2012,90
5/9/2012,4/24/2012,106
5/9/2012,4/25/2012,110
5/9/2012,4/26/2012,121
5/9/2012,4/27/2012,136
5/9/2012,4/28/2012,136
5/9/2012,4/29/2012,137
5/9/2012,4/30/2012,150
5/9/2012,5/1/2012,155
5/9/2012,5/2/2012,179
5/9/2012,5/3/2012,209
5/9/2012,5/4/2012,224
5/9/2012,5/5/2012,229
5/9/2012,5/6/2012,230
5/9/2012,5/7/2012,246
5/9/2012,5/8/2012,252
5/9/2012,5/9/2012,290
5/10/2012,3/11/2012,0
5/10/2012,3/12/2012,0
5/10/2012,3/13/2012,0
5/10/2012,3/14/2012,0
5/10/2012,3/15/2012,0
5/10/2012,3/16/2012,0
5/10/2012,3/17/2012,0
5/10/2012,3/18/2012,0
5/10/2012,3/19/2012,0
5/10/2012,3/20/2012,0
5/10/2012,3/21/2012,0
5/10/2012,3/22/2012,0
5/10/2012,3/23/2012,4
5/10/2012,3/24/2012,4
5/10/2012,3/25/2012,4
5/10/2012,3/26/2012,4
5/10/2012,3/27/2012,5
5/10/2012,3/28/2012,6
5/10/2012,3/29/2012,7
5/10/2012,3/30/2012,9
5/10/2012,3/31/2012,9
5/10/2012,4/1/2012,9
5/10/2012,4/2/2012,14
5/10/2012,4/3/2012,20
5/10/2012,4/4/2012,22
5/10/2012,4/5/2012,26
5/10/2012,4/6/2012,26
5/10/2012,4/7/2012,26
5/10/2012,4/8/2012,26
5/10/2012,4/9/2012,29
5/10/2012,4/10/2012,30
5/10/2012,4/11/2012,35
5/10/2012,4/12/2012,38
5/10/2012,4/13/2012,42
5/10/2012,4/14/2012,42
5/10/2012,4/15/2012,42
5/10/2012,4/16/2012,48
5/10/2012,4/17/2012,55
5/10/2012,4/18/2012,59
5/10/2012,4/19/2012,69
5/10/2012,4/20/2012,72
5/10/2012,4/21/2012,72
5/10/2012,4/22/2012,72
5/10/2012,4/23/2012,76
5/10/2012,4/24/2012,82
5/10/2012,4/25/2012,85
5/10/2012,4/26/2012,90
5/10/2012,4/27/2012,99
5/10/2012,4/28/2012,99
5/10/2012,4/29/2012,100
5/10/2012,4/30/2012,108
5/10/2012,5/1/2012,110
5/10/2012,5/2/2012,132
5/10/2012,5/3/2012,157
5/10/2012,5/4/2012,165
5/10/2012,5/5/2012,170
5/10/2012,5/6/2012,175
5/10/2012,5/7/2012,182
5/10/2012,5/8/2012,185
5/10/2012,5/9/2012,201
5/10/2012,5/10/2012,253
5/11/2012,3/12/2012,0
5/11/2012,3/13/2012,0
5/11/2012,3/14/2012,0
5/11/2012,3/15/2012,0
5/11/2012,3/16/2012,0
5/11/2012,3/17/2012,0
